ADM2_EN,county,Sub_County,Ward,Latitude,Longitude,Report_Dat,Disease_Co,Species_Af,Number_at_,Number_Sick,Number_Dea,Number_Sla,Number_Des,Number_Hum,Number_Vac,Incidence
Kinangop,Nyandarua,Kinangop,Njabini/Kiburu,-0.730595,36.6483541,3/2/2024,Rabies,Cattle,4,1,0,0,1,0,0,0.2
Kipipiri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kipkelion East,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kipkelion West,Kericho,Kipkelion West,Kamasian,-0.1667216,35.4595325,6/23/2024,Rabies,Dogs,3,0,1,0,0,0,3,0
Kirinyaga Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kisauni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kisumu Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kisumu East,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kisumu West,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kitui Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kitui East,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kitui Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kitui South,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kitui West,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kitutu Chache North,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kitutu Chache South,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kitutu Masaba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Konoin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kuresoi North,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kuresoi South,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kuria East,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kuria West,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kwanza,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lafey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lagdera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Laikipia East,Laikipia,Laikipia West,Igwamiti,0.0407448,36.3594585,3/4/2024,Rabies,Dogs,2,1,0,0,0,0,0,0.333333333
Laikipia North,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Laikipia West,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Laisamis,Makueni,Kibwezi West,Makindu,2.153874104,37.49386089,8/7/2024,Rabies,Dogs,3,0,0,0,0,0,3,0
Laisamis,Marsabit,Laisamis,Laisamis,1.4196913,37.7305784,1/22/2024,Rabies,Dogs,100,1,1,0,1,4,0,0.00990099
Laisamis,Marsabit,Laisamis,Laisamis,1.4196913,37.7305784,1/22/2024,Rabies,Dogs,120,11,1,0,1,4,0,0.083969466
Laisamis,Marsabit,Laisamis,Kargi/South Horr,2.509395,37.57384,5/29/2024,Rabies,Other,32,8,2,0,2,1,0,0.2
Laisamis,Samburu,Samburu North,Nyiro,2.0978815,36.9203463,1/28/2024,Rabies,Cattle,3,1,0,0,1,0,0,0.25
Lamu East,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lamu West,Lamu,Lamu West,Bahari,-2.3811449,40.7017552,8/21/2024,Rabies,Sheep,78,0,4,4,6,12,0,0
Lamu West,Lamu,Lamu West,Hongwe,-2.38523,40.68006333,7/24/2024,Rabies,Cattle,2,1,1,0,0,0,0,0.333333333
Lamu West,Lamu,Lamu West,Bahari,-2.3851892,40.6800942,7/24/2024,Rabies,Cattle,2,0,1,0,0,0,2,0
Langata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lari,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Likoni,Mombasa,Likoni,Timbwani,-4.112918,39.6471391,5/3/2024,Rabies,Dogs,6,6,0,0,6,NA,0,0.5
Likuyani,Kakamega,Likuyani,Sango,0.7416925,35.0895663,1/11/2024,Rabies,Dogs,5,2,1,0,0,1,0,0.285714286
Likuyani,Kakamega,Likuyani,Likuyani,0.697478333,35.09492667,3/24/2024,Rabies,Cattle,5,1,0,0,0,0,0,0.166666667
Limuru,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luanda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lugari,Kakamega,Lugari,Lwandeti,0.6304733,34.8543113,6/5/2024,Rabies,Cattle,0,1,0,0,1,0,0,1
Lugari,Kakamega,Lugari,Lugari,0.6319735,34.9129278,1/11/2024,Rabies,Cattle,9,1,0,0,0,0,0,0.1
Lugari,Kakamega,Lugari,Chevaywa,0.4934176,34.6982644,10/25/2024,Rabies,Cattle,2,1,0,0,0,0,0,0.333333333
Lunga Lunga,Kwale,Lungalunga,Vanga,-4.5285254,39.1302148,8/19/2024,Rabies,Dogs,3,1,0,0,1,NA,0,0.25
Lurambi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Machakos Town,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Magarini,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Makadara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Makueni,Makueni,Makueni,Kathonzweni,-1.9205342,37.7325716,4/2/2024,Rabies,Dogs,5,1,1,0,1,0,5,0.166666667
Makueni,Makueni,Makueni,Kathonzweni,-1.979585,37.72829833,6/3/2024,Rabies,Cattle,18,1,1,0,0,0,18,0.052631579
Makueni,Makueni,Makueni,Muvau/Kikuumini,-1.850719,37.644813,4/5/2024,Rabies,Dogs,2,1,0,0,1,1,0,0.333333333
Makueni,Makueni,Makueni,Muvau/Kikuumini,-1.781929,37.592242,5/7/2024,Rabies,Goats,8,1,0,0,1,NA,8,0.111111111
Makueni,Makueni,Makueni,Muvau/Kikuumini,-1.841527,37.6105478,5/9/2024,Rabies,Dogs,3,1,0,0,1,NA,0,0.25
Makueni,Makueni,Makueni,Muvau/Kikuumini,-1.83856,37.61829333,5/9/2024,Rabies,Dogs,12,1,0,0,1,NA,12,0.076923077
Makueni,Makueni,Makueni,Wote,-1.79172,37.59991,12/11/2024,Rabies,Dogs,2,1,0,0,0,2,1,0.333333333
Makueni,Makueni,Makueni,Muvau/Kikuumini,-1.866993333,37.66493167,3/21/2024,Rabies,Goats,5,1,0,0,0,0,1,0.166666667
Makueni,Makueni,Makueni,Mbitini,-1.9706223,37.4379554,2/26/2024,Rabies,Goats,6,1,0,0,0,0,6,0.142857143
Makueni,Makueni,Makueni,Muvau/Kikuumini,-1.875865,37.545355,5/26/2024,Rabies,Dogs,8,2,0,0,2,2,68,0.2
Makueni,Makueni,Makueni,Muvau/Kikuumini,-1.861108,37.585054,5/28/2024,Rabies,Donkey,3,1,0,0,1,NA,8,0.25
Makueni,Makueni,Makueni,Kathonzweni,-1.97957641,37.72836322,5/28/2024,Rabies,Cattle,18,1,1,0,1,0,18,0.052631579
Makueni,Makueni,Makueni,Mbitini,-1.9611478,37.4432928,9/29/2024,Rabies,Donkey,0,1,0,0,0,0,0,1
Malava,Kakamega,Malava,Chemuche,0.41880575,34.92838362,5/6/2024,Rabies,Cattle,8,1,0,0,0,0,7,0.111111111
Malava,Kakamega,Malava,Butali/Chegulo,0.4813786,34.843618,1/11/2024,Rabies,Dogs,50,1,1,0,1,0,0,0.019607843
Malava,Kakamega,Malava,Manda-Shivanga,0.481729167,34.89717397,3/11/2024,Rabies,Cattle,3,1,0,0,1,0,0,0.25
Malava,Kakamega,Malava,Chemuche,0.4276958,34.92014082,4/20/2024,Rabies,Cattle,3,1,0,0,0,0,0,0.25
Malindi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mandera East,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mandera North,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mandera South,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mandera West,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Manyatta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maragwa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marakwet East,Elgeyo/Marakwet,Marakwet East,Sambirir,1.07092057,35.57770709,6/1/2024,Rabies,Cattle,2,1,0,0,0,0,0,0.333333333
